Date,compound,pos,neg,neu
2016-03-31,0.093505,0.07135227272727274,0.023818181818181815,0.9048249999999998
2016-04-01,0.062275324675324706,0.0666233766233766,0.032291280148423016,0.9010909090909093
2016-04-02,0.16195674157303377,0.09776966292134832,0.028404494382022468,0.8738370786516849
2016-04-03,0.173476,0.09792000000000001,0.016613333333333338,0.8854622222222223
2016-04-04,0.0406983258928571,0.026814732142857123,0.007868303571428573,0.965317522321431
2016-04-05,0.12967777777777745,0.08644122383252822,0.02268276972624799,0.890867954911433
2016-04-06,0.11226487907465749,0.08313985278654025,0.02266561514195584,0.8941913774973724
2016-04-07,0.07543672922252014,0.0790294906166219,0.03508713136729224,0.8858847184986594
2016-04-08,-0.005374062968515742,0.0799550224887557,0.060973013493253334,0.8590809595202401
2016-04-09,0.10376030150753766,0.08800502512562809,0.03606030150753768,0.8759497487437186
2016-04-10,0.12255583941605834,0.08399999999999999,0.02791970802919708,0.8880766423357667
2016-04-11,0.11812743221690594,0.07855023923444977,0.025156299840510366,0.8962950558213719
2016-04-12,0.11371428571428574,0.07710225563909776,0.03195639097744363,0.8909398496240607
2016-04-13,0.14032377450980368,0.09741053921568628,0.032600490196078455,0.8699938725490203
2016-04-14,0.11553301104972366,0.07795580110497244,0.020838397790055255,0.9011975138121557
2016-04-15,0.08936955752212393,0.07066902654867267,0.03066548672566372,0.8986743362831848
2016-04-16,0.1925283783783783,0.11086148648648639,0.027070945945945946,0.8620641891891889
2016-04-17,0.19122117647058826,0.08678039215686272,0.010894117647058821,0.9023254901960778
2016-04-18,0.09153326432022069,0.08052518978605937,0.03891787439613528,0.8805603864734307
2016-04-19,0.11047683615819195,0.07205569007263929,0.02362389023405972,0.904313962873285
2016-04-20,0.11942006420545741,0.07931621187800947,0.025158908507223104,0.8955329052969514
2016-04-21,0.11842862232779046,0.07930403800475068,0.026590261282660333,0.8941140142517805
2016-04-22,0.08602378303198896,0.0736300417246175,0.03296940194714883,0.8934353268428379
2016-04-23,0.12142737752161388,0.06997694524495676,0.01770028818443804,0.9123285302593671
2016-04-24,-0.026980194174757166,0.050613592233009645,0.05796310679611647,0.891423300970873
2016-04-25,-0.12753939573459608,0.024117890995260623,0.067408767772511,0.9084739336492877
2016-04-26,0.07321957070707069,0.07231060606060599,0.03433333333333333,0.8933547979797989
2016-04-27,0.05825482406356424,0.07500113507377974,0.038933030646992085,0.8860726447219069
2016-04-28,0.1510666465621241,0.11435012062726195,0.03951115802171278,0.8461423401688729
2016-04-29,0.1337280393171233,0.09218365235385412,0.0315463010863942,0.8762767718572178
2016-04-30,0.3682385884509675,0.1454949587534375,0.013735105407882673,0.8407561869844098
2016-05-01,0.12214058823529396,0.08300000000000009,0.029862745098039198,0.8871431372549012
2016-05-02,0.11312593774940126,0.07636791699920188,0.02399680766161213,0.8996368715083777
2016-05-03,0.15810644028103038,0.0955667447306792,0.02521896955503514,0.8792154566744753
2016-05-04,0.1096942350332594,0.0906596452328159,0.033379157427937935,0.875961197339245
2016-05-05,0.11600748538011635,0.08331111111111109,0.03126432748538016,0.8854245614035087
2016-05-06,0.11640635268346092,0.08654435925520254,0.030386637458926617,0.8830635268346101
2016-05-07,0.13968551236749105,0.08436395759717312,0.021413427561837447,0.894219081272084
2016-05-08,0.11400796178343943,0.06063694267515923,0.014156050955414013,0.9252006369426742
2016-05-09,0.0810075414781297,0.07465761689291099,0.03479638009049776,0.8905354449472108
2016-05-10,0.14050955665024628,0.08825123152709391,0.02172512315270937,0.8900177339901465
2016-05-11,0.11909763542562356,0.08471668099742054,0.03164789337919173,0.8836470335339638
2016-05-12,0.08574970896391133,0.08116647264260778,0.039515133876600675,0.8793189755529668
2016-05-13,0.023470914826498403,0.07254069400630905,0.05096340694006306,0.8764902208201873
2016-05-14,0.047807064017659995,0.05319646799116999,0.029379690949227395,0.9173818984547458
2016-05-15,0.06680063965884861,0.06100639658848617,0.031191897654584248,0.9077782515991469
2016-05-16,0.10056737160120811,0.07565861027190351,0.029530211480362563,0.8948164652567968
2016-05-17,0.09441574225122328,0.08002854812398047,0.03129608482871126,0.8886753670473082
2016-05-18,0.08501780918727857,0.0934720848056535,0.04015759717314483,0.8663568904593628
2016-05-19,0.075369466403162,0.0849832015810278,0.0403745059288537,0.8746492094861655
2016-05-20,0.10505054347826084,0.07850543478260859,0.026135869565217393,0.8953559782608697
2016-05-21,0.09074507462686571,0.08040597014925374,0.04248955223880597,0.8771044776119409
2016-05-22,0.12558519637462243,0.0920422960725076,0.029658610271903318,0.8782900302114803
2016-05-23,0.10040604651162797,0.07286356589147268,0.025337984496124042,0.9018015503875989
2016-05-24,0.09450370860927143,0.07110728476821197,0.03074834437086094,0.898140397350993
2016-05-25,0.1145967327887978,0.07615402567094519,0.02040606767794632,0.9034422403733967
2016-05-26,0.11126082802547761,0.08120541401273894,0.027632165605095543,0.8911624203821649
2016-05-27,0.06900306278713633,0.05836600306278712,0.02556814701378254,0.9160689127105677
2016-05-28,0.19162513661202188,0.09444808743169396,0.019202185792349728,0.8863442622950822
2016-05-29,0.15275708502024302,0.08859919028340084,0.01904858299595142,0.8923522267206482
2016-05-30,0.18932671755725183,0.09155343511450371,0.016881679389312978,0.8915648854961827
2016-05-31,0.15955105540897072,0.09887467018469667,0.023688654353562006,0.8774432717678113
2016-06-01,0.15620916334661308,0.10019023904382478,0.03401792828685261,0.865778884462151
2016-06-02,0.10483142144638408,0.08673566084788012,0.031754364089775576,0.8815149625935177
2016-06-03,0.11278606403013175,0.07526930320150663,0.02843691148775896,0.8962881355932197
