Date,compound,pos,neg,neu
2016-04-02,0.12139212328767125,0.07174315068493155,0.016246575342465756,0.912006849315068
2016-04-03,0.0698462650602409,0.057949397590361516,0.030340963855421683,0.9117012048192774
2016-04-04,0.07684017660044144,0.05361147902869745,0.01917660044150111,0.9272126563649773
2016-04-05,0.07479968895800927,0.06457931570762056,0.034856920684292365,0.9005622083981338
2016-04-06,0.1239450754852625,0.08075125808770668,0.031381739755571535,0.887874191229331
2016-04-07,0.10539444168734509,0.08306004962779165,0.04170719602977666,0.8752307692307703
2016-04-08,0.1250593237704924,0.0812085040983606,0.03347745901639349,0.8853109631147548
2016-04-09,0.1060873978996499,0.08031388564760787,0.04116802800466745,0.8785239206534432
2016-04-10,0.09667588571428562,0.06444800000000003,0.024345142857142885,0.9112194285714275
2016-04-11,0.11325117558779421,0.07366383191595817,0.030097048524262173,0.89624012006003
2016-04-12,0.16952543956044,0.09193901098901101,0.028476373626373633,0.8795868131868158
2016-04-13,0.1572706077348072,0.0840359116022099,0.027485082872928203,0.8884779005524867
2016-04-14,0.1422503740648385,0.08242830423940137,0.02804114713216958,0.8895280548628406
2016-04-15,0.05917852323838085,0.07021964017991028,0.04806859070464768,0.8817091454272908
2016-04-16,0.09620400410677599,0.07542094455852154,0.032585215605749514,0.8919958932238196
2016-04-17,0.15486996855346039,0.07792243186582985,0.01426153039832285,0.9078176100629001
2016-04-18,0.044501868089973286,0.060947007243614085,0.04451772779260395,0.894527258863898
2016-04-19,0.053246713147410224,0.05283399734395754,0.03169156706507304,0.915483731739708
2016-04-20,0.04614574031890642,0.053619134396355406,0.03994441913439626,0.9064364464692469
2016-04-21,0.03292341717259317,0.057023417172593176,0.044317432784041634,0.8986639202081524
2016-04-22,0.0331847535934292,0.05510574948665294,0.044086755646817265,0.9008054414784403
2016-04-23,0.04771108033240996,0.052095106186518914,0.036109879963065555,0.9117987072945529
2016-04-24,0.10425509076558745,0.07665193370165753,0.03680662983425414,0.8865438042620334
2016-04-25,0.020941294498381845,0.04467961165048544,0.03756343042071192,0.9177631067961165
2016-04-26,0.01396891536873708,0.051135672734096825,0.047307468568211775,0.901552073559766
2016-04-27,0.07620405035021707,0.07604273677799243,0.050884072682976234,0.8730712618008268
2016-04-28,0.09464523144453459,0.08501955307262618,0.054291101356743955,0.8606747805267246
2016-04-29,0.04566483225426709,0.07040200117716294,0.0512939964685109,0.8783004708652156
2016-04-30,0.21258264364394744,0.08136766894909195,0.015225960107174752,0.9034081571896294
2016-05-01,0.060754056291390586,0.05575910596026495,0.031880794701986785,0.9123600993377498
2016-05-02,0.031951780667043454,0.06336659129451662,0.05006274731486724,0.8865743357829309
2016-05-03,0.05116658851113757,0.07301946072684627,0.04870152403282537,0.878279953106682
2016-05-04,-0.06671767725377033,0.04916746871992288,0.07697722168752143,0.8738517805582442
2016-05-05,0.03181621829362027,0.06422098385857031,0.05346310530361242,0.8823274404304363
2016-05-06,0.014047112891821761,0.037444025453688426,0.03266886636813582,0.9298861654489746
2016-05-07,0.03049147609147612,0.05540228690228688,0.04522972972972981,0.8993731808731811
2016-05-08,0.16296167539266804,0.061554764397905776,0.007434764397905751,0.9310113089005052
2016-05-09,0.039847042906841844,0.05766293003478927,0.042105914186316123,0.9002319288751455
2016-05-10,0.09894256704980875,0.07899463601532587,0.04376781609195401,0.8772532567049782
2016-05-11,0.09377764464224563,0.06836254707292064,0.03548613488531327,0.8961523450872919
2016-05-12,0.026973907563024944,0.0688039915966388,0.06061806722689044,0.8705787815126064
2016-05-13,0.060790287769783985,0.06641671278361921,0.045916436081903836,0.8876585500830123
2016-05-14,0.047362857142857144,0.05504190476190474,0.036918095238095236,0.9080352380952373
2016-05-15,0.08032125654450252,0.06614136125654455,0.03451413612565444,0.8993340314136128
2016-05-16,0.17810199420487502,0.1063713993523138,0.040574228737002914,0.853054371910679
2016-05-17,0.10742340592505475,0.1027545615067674,0.0618540317834026,0.8353906219345044
2016-05-18,0.1788746504782945,0.09897645327446618,0.02624208977189108,0.874781456953654
2016-05-19,0.08352015936254958,0.06449641434262948,0.030652589641434285,0.9048318725099614
2016-05-20,0.07466494676494696,0.05535667485667484,0.024839885339885334,0.9197960687960705
2016-05-21,0.06700560386473416,0.05739710144927533,0.02823768115942029,0.9143526570048303
2016-05-22,0.09284601769911495,0.0756263520157327,0.040520157325467106,0.8838603736479821
2016-05-23,0.12105390591281817,0.08254337505394885,0.03412386706948629,0.8833344842468734
2016-05-24,0.07246413685847605,0.05073592534992218,0.020901399688957975,0.9283623639191301
2016-05-25,0.09525300530347701,0.06748114319387162,0.027892751915144297,0.9046222746022405
2016-05-26,0.10543287858117324,0.068069577080491,0.025473396998635756,0.9064479308776714
2016-05-27,0.09212634730538972,0.06940718562874221,0.030572672836145873,0.9000201415351115
2016-05-28,0.09123303886925775,0.06848056537102477,0.034756183745583036,0.8967650176678439
2016-05-29,0.09131456953642382,0.06289072847682126,0.03232947019867548,0.9047880794701991
2016-05-30,0.09136361051883461,0.05912864250177705,0.025837953091684435,0.9150312722103787
2016-05-31,0.0701693749999998,0.06405795454545458,0.03639318181818185,0.899548863636367
2016-06-01,0.08027763413057525,0.06825921137685863,0.03885326438267611,0.8928623141564311
2016-06-02,0.02384265402843587,0.05107145461173896,0.0477666788188115,0.9011706161137457
2016-06-03,0.0796937977099234,0.05673568702290072,0.028069656488549623,0.9151975190839671
2016-06-04,0.09322083333333323,0.07124845679012357,0.036339506172839514,0.892412037037035
2016-06-05,0.10962641242937844,0.07197175141242937,0.03259887005649719,0.8954279661016958
